id; date; title; short_desc
1;11/7/2025;"Santa María Chí";"Se realizó una visita a la comunidad de"
2;11/7/2025;"Kinchil";"Se realizó una visita a la comunidad de Kinchil"
3;11/7/2025;"Xaya, Tekax";"Se realizó una visita a la comunidad de Xaya, Tekax"
