id;date;title;pages;short_desc
1;15-07-2025;TOMO 1;1;Primera edición del periódico CONECTA con artículos de divulgación científica
2;15-07-2025;TOMO 2;2;Segunda edición del periódico CONECTA con nuevos descubrimientos y actividades
