id;date;title;short_desc
1;11-07-2025;Taller de Delineadores;Se impartió un taller de elaboración de delineadores naturales con ingredientes caseros
2;11-07-2025;Taller de Popping Boba;Se impartió un taller de elaboración de Popping Boba utilizando principios de química
3;11-07-2025;Taller de Velas;Se impartió un taller de elaboración de velas aromáticas con técnicas artesanales
